id,high,low
603990,3389,3336
603909,3169,3097
603908,2726,2682
603859,1909,1870
603855,948,936
603809,2078,2035
603789,1286,1252
603685,1918,1872
603609,944,922
603586,1555,1530
603567,1392,1366
603566,1684,1642
603556,1787,1761
603360,1389,1351
603355,3088,3020
603331,1725,1687
603199,2466,2417
603167,943,934
603055,1421,1403
601996,394,386
601966,1637,1611
601965,797,774
601952,743,732
601928,625,617
601607,2509,2458
601579,1018,999
601515,838,821
601390,754,745
601127,1768,1745
601019,816,806
601006,905,886
600993,1723,1689
600984,600,582
600980,1275,1243
600978,686,678
600897,1998,1973
600892,844,828
600870,296,286
600827,1016,1002
600817,741,718
600811,442,438
600779,5596,5480
600778,504,495
600736,620,613
600694,3282,3228
600664,417,408
600648,1923,1900
600598,969,955
600587,1418,1394
600567,401,397
600479,1062,1039
600478,501,490
600408,204,198
600399,563,554
600377,906,898
600301,545,528
600265,2688,2609
600238,647,638
600229,809,800
600209,405,400
600182,2488,2460
600177,746,733
600150,1130,1105
600143,519,509
600094,536,527
600091,383,375
600064,735,727
300741,4029,3970
300660,2543,2501
300610,1312,1285
300575,3939,3900
300573,1888,1867
300566,1870,1818
300530,3086,3021
300518,4830,4760
300478,1795,1764
300473,3600,3525
300449,1819,1782
300446,1825,1794
300442,1697,1670
300441,910,894
300427,1450,1413
300414,1780,1750
300385,1888,1855
300371,1638,1613
300342,1238,1220
300309,2136,2094
300286,957,935
300241,619,605
300214,501,494
300198,678,660
300195,1095,1077
300172,626,613
300154,525,517
300112,871,855
300108,813,800
300087,1058,1038
300082,532,523
300042,2540,2503
300041,938,924
002868,1888,1862
002816,1573,1551
002808,1088,1072
002761,1972,1913
002751,3105,3025
002735,3180,3160
002731,1598,1575
002718,3229,3170
002712,1819,1789
002701,560,550
002664,2543,2501
002647,1809,1761
002626,1796,1763
002615,640,630
002612,1141,1117
002595,1732,1700
002587,650,637
002578,389,383
002566,722,708
002559,751,738
002506,476,463
002472,842,827
002443,713,696
002442,1098,1088
002441,775,766
002435,827,814
002394,1027,1014
002391,1295,1279
002355,816,790
002352,4580,4488
002350,703,688
002322,1290,1262
002309,1430,1389
002287,2980,2918
002275,1513,1490
002266,381,377
002254,1163,1142
002252,1978,1952
002248,948,936
002240,1399,1365
002210,1278,1248
002197,875,864
002196,726,716
002144,1142,1128
002117,1478,1454
002104,712,700
002100,625,621
002059,771,757
002039,1485,1472
002030,1654,1614
002029,783,770
002028,1660,1636
000990,1470,1448
000919,766,756
000888,811,795
000876,659,649
000813,844,827
000785,821,809
000777,1134,1095
000603,1142,1122
000525,1720,1695
000423,5442,5323
000096,1097,1079
000056,1041,1026
000042,1618,1587
000036,629,611
